cat,Category_Index,label,review
书籍,2755,0,"挺失望的,还不如买一本张爱玲文集呢,以<色戒>命名,可这篇文章仅仅10多页,且无头无尾的,完全比不上里面的任意一篇其它文章."
书籍,458,1,原来已经有一本签名版了，在现场又买了一本。李清照的那首词给人很多感慨“生当为人杰，死亦为鬼雄，至今思项羽，不肯过江东”，历来英雄——非以成败论英雄——从多歌咏，尤其是失败者，人们给予更多的同情和笔墨，仿佛能够感受到四面楚歌别姬的伤感，临死犹不惧，冲入敌阵，一身血肉纵横。成功往往难于复制，但失败总是给我们借鉴的，大事大鉴，小事小鉴，无事可鉴，仍可笑看，“古今多少事，都付笑谈中”。
书籍,292,1,这本书是作者半生的智慧结晶，是对中国古文化和现代科学的重大贡献。我怀着十万分崇敬的心情拜读此书。深深感激作者的无私胸怀，毫无保留的向后人贡献自己的才智，比那些有点成就就要靠着知识产权来赚取钱财的伪学者高明万倍。向这位学者致以崇高的敬意，我代表我的子孙后代向他表示我们的敬意，感谢他为中华民族的文化传承所做的工作。功泽后世，永受尊重。
书籍,3625,0,"大家都说这本书写了很多心理案例,但我觉得什么案例呀，不就是作者编的故事么，而且欠分析。说什么是心理学的辅读读物，我看就是把一些故事串起来，再打乱一下顺序而已。推荐那些喜欢看小说的人看，但真想学到点心理学知识，那就免谈了。"
书籍,3065,0,每个人的看法可能都有所不同，也许还在围墙外的我没有用心去看者本书吧，也是听朋友介绍跟风买的，满新欢喜的拿到后一读觉得没有什么意思。情侣或夫妻两个人每家都有每家的故事与特点，我觉得只要用心就好了。。。。
书籍,3405,0,很不喜欢这种小女人过着自以为小资的生活，每次都联想到夜上海的情景，不是很让人舒服，只有颓废的感觉。
书籍,2461,0,一般的书，在消磨时间的时候可以看看，不是非常实用。
书籍,2471,0,"也许这不算一个很好的理由,但是我之所以喜欢读书而不是看网上的资料什么的,就是喜欢闻着书香.这本书可能是印刷的油墨不好还是什么原因,感觉臭臭的不好闻.里面是一些关于中式英语的小趣闻,有些小乐趣,但感觉对于有浓重中式思维习惯说英说的人来说才比较有点用处."
书籍,606,1,许多年前，同事为养育孩子就看了这本书，多少了解这本书的一些观点。这次为了养育自己的孩子，买来细细读了。感觉还是很有收获。一个成功的教育个案往往比一些空洞的教育理论对家长来说更有意义。书中的教育观点落于实处，非常具体，很有参考价值。基本上同意老卡尔威特的教育理念，除了个别的一些观念。一些具体的应对方式和教育方法对于家长来说值得借鉴。推荐一下！
书籍,938,1,书已收到，貌似觉得字有点小，哎，可惜了书里的内容几乎和网上看到的一样，嘿嘿，原以为还可以和良言写意一样多点番外的内容呢，哈哈
